Source,Target,Weight
Carlos,estudava,1
estudava,medicina,1
Carlos,apareceu,4
apareceu,Lisboa,1
Carlos,fazia,3
fazia,viagem,1
Carlos,fazendo,2
fazendo,impressão,1
Carlos,avistar,2
avistar,terraço,1
Carlos,necessita,1
necessita,regime,1
Carlos,pulava,1
pulava,joelhos,1
Carlos,cruzou,1
cruzou,braços,1
Carlos,recolheu,2
recolheu,prato,1
Carlos,diz,1
diz,Vilaça,1
Carlos,tinha,14
tinha,trapézio,1
Carlos,veio,3
veio,estirar,1
Carlos,correu,4
correu,refugiar,1
Carlos,estava,8
estava,enfezado,1
Carlos,mandava,1
mandava,Vilaça,1
Carlos,sabe,2
sabe,pai,1
Carlos,rabiscava,1
rabiscava,carantonhas,1
Carlos,formar,1
formar,Medicina,1
Carlos,deixava,2
deixava,compêndios,1
Carlos,passava,2
passava,férias,1
Carlos,trazia,3
trazia,João,1
Carlos,tomando,1
tomando,sol,1
Carlos,alugou,1
alugou,mês,1
Carlos,surpreendeu,1
surpreendeu,Juca,1
Carlos,houve,1
houve,festa,1
Carlos,sorrindo,7
sorrindo,pausando,1
trazia,resoluções,1
Carlos,era,5
era,austero,1
Carlos,queixava,1
queixava,sr,1
Carlos,olhando,2
olhando,roliça,1
Carlos,sorria,5
sorria,argumentava,1
Carlos,encontrava,1
encontrava,avô,1
Carlos,partia,1
partia,estilo,1
Carlos,dando,4
dando,salto,1
Carlos,ria,6
ria,abraçando,1
Carlos,mirava,1
mirava,luvas,1
Carlos,falou,5
falou,planos,1
Carlos,teve,10
teve,exclamação,2
ria,ideia,1
Carlos,animava,1
animava,sala,1
Carlos,atravessava,1
atravessava,rua,1
Carlos,batendo,5
batendo,galhofeiramente,1
sorria,gabando,1
Carlos,encontrou,1
encontrou,silêncio,1
passava,sorriso,1
Carlos,conhecia,4
conhecia,Gouvarinhos,1
Carlos,caía,1
caía,sono,1
estava,convidativo,1
tinha,tempo,1
Carlos,falava,3
falava,carreira,1
Carlos,entrando,1
entrando,manhã,1
Carlos,disse,4
disse,soprou,1
Carlos,compreendeu,2
compreendeu,dias,1
Carlos,cortava,1
cortava,folhas,1
Carlos,achava,7
achava,picante,1
Carlos,respeitou,1
respeitou,nervos,1
tinha,anos,1
Carlos,enjoaram,1
enjoaram,paquetes,1
Carlos,buscar,2
buscar,livro,1
Carlos,bebeu,2
bebeu,gole,1
Carlos,ergueu,9
ergueu,paz,1
Carlos,atirou,3
atirou,cigarette,1
Carlos,irem,2
irem,«,1
batendo,amavelmente,1
Carlos,dizia,3
dizia,«,1
Carlos,vira,4
vira,Verão,2
falou,ópera,1
ergueu,olhos,1
Carlos,fazer,2
fazer,conhecimento,1
Carlos,protestou,1
protestou,risonho,1
teve,dificuldades,1
Carlos,deu,7
deu,puxões,1
Carlos,voltaram,1
voltaram,sala,1
Carlos,parece,1
parece,Vila,1
Carlos,respondeu,3
respondeu,respeito,1
Carlos,olhava,3
olhava,garrafa,1
Carlos,contou,3
contou,soirée,1
Carlos,confessou,1
confessou,dias,1
Carlos,ficou,8
ficou,sala,1
Carlos,desceu,3
desceu,coupé,1
Carlos,estou,1
estou,noites,1
Carlos,descer,1
descer,Rua,1
Carlos,ofereceu,2
ofereceu,tostões,1
achava,horrivelmente,1
Carlos,afastaram,1
afastaram,passo,1
Carlos,reparou,2
reparou,nele,1
deu,estrondosos,1
Carlos,merecer,1
merecer,estudo,1
Carlos,declarou,2
declarou,realismo,1
Carlos,entendia,1
entendia,finanças,1
disse,senhor,1
fazia,elogio,1
Carlos,procurando,2
procurando,chapéu,1
Carlos,recolher,1
recolher,pé,1
Carlos,concordou,1
concordou,gabou,1
Carlos,dera,1
dera,passos,1
Carlos,é,7
é,andares,1
respondeu,poeta,1
é,Carlos,1
Carlos,aceitou,1
aceitou,presente,1
achava,charuto,1
contou,avô,1
Carlos,recordava,4
recordava,nessa,1
Carlos,tendo,1
tendo,similitudes,1
Carlos,saía,1
saía,casa,1
Carlos,levou,2
levou,fumoir,1
Carlos,aparecia,1
aparecia,teatro,1
Carlos,fugiu,1
fugiu,vexado,1
era,asno,1
Carlos,trouxe,1
trouxe,sr,1
deu,lho,1
Carlos,erguer,1
erguer,olhos,1
Carlos,deixara,2
deixara,revista,1
Carlos,Diz,1
Diz,coisa,1
tinha,razão,1
ria,Ega,1
achava,naturalidade,1
Carlos,julgando,1
julgando,moribundo,1
veio,tio,1
levou,Grémio,1
estava,«,1
Carlos,olhasse,1
olhasse,Europa,1
Carlos,detalhar,1
detalhar,feições,1
olhava,Cais,1
Carlos,achara,3
achara,nessa,1
Carlos,descobrindo,1
descobrindo,bárbaros,1
Carlos,encontrara,1
encontrara,vez,1
estava,consultório,1
Carlos,reconheceu,4
reconheceu,Gouvarinho,1
Carlos,pôs,2
pôs,interesse,1
Carlos,dobrou,1
dobrou,pescoço,1
Carlos,viu,3
viu,mancha,1
Carlos,assegurou,1
assegurou,aspecto,1
Carlos,querendo,1
querendo,retê,1
Carlos,caminhando,2
caminhando,lado,1
Carlos,sentia,7
sentia,fino,1
Carlos,lamentava,1
lamentava,existência,1
Carlos,acompanhando,1
acompanhando,rua,1
Carlos,lançou,2
lançou,tipóia,1
ergueu,braços,2
Carlos,sabia,3
sabia,manhã,1
reconheceu,retrato,1
Carlos,dava,3
dava,sala,1
batendo,pé,1
Carlos,tinham,3
tinham,partida,1
Carlos,dar,1
dar,sova,1
ficou,momento,1
Carlos,pensou,2
pensou,Sintra,1
sabia,passado,1
estava,génio,1
Carlos,conhecera,1
conhecera,casa,1
Carlos,atirando,4
atirando,joelhos,1
fazer,companhia,1
Carlos,acendendo,4
acendendo,charuto,1
falou,plano,1
Carlos,pensava,3
pensava,motivo,1
Carlos,saindo,2
saindo,silêncio,1
Carlos,saltando,1
saltando,almofada,1
batendo,ombro,1
Carlos,quero,2
quero,conheças,1
Carlos,saudou,1
saudou,damas,1
Carlos,tivera,2
tivera,honra,1
Carlos,fez,4
fez,gesto,1
Carlos,bateu,2
bateu,ombro,1
Carlos,passar,3
passar,olhar,1
Carlos,retardou,1
retardou,passo,1
respondeu,olhos,1
Carlos,mostrava,1
mostrava,relógio,1
Carlos,riscava,1
riscava,pensativamente,1
Carlos,chamando,2
chamando,lado,2
Carlos,foi,3
foi,apressando,1
ficou,olhar,1
atirando,chapéu,1
apareceu,varanda,1
Carlos,voltou,2
voltou,quarto,1
Carlos,subiu,1
subiu,almofada,1
Carlos,abrindo,3
abrindo,janela,1
Carlos,retomou,1
retomou,pena,1
achara,escritório,1
abrindo,carta,1
Carlos,encolheu,9
encolheu,ombros,9
olhava,assombrado,1
Carlos,saiu,3
saiu,trovejou,1
trazia,mão,1
Carlos,demorou,3
demorou,instante,1
Carlos,conheço,1
conheço,palmos,1
Carlos,vendo,4
vendo,mesa,1
ficou,intimidade,1
Carlos,prendia,1
prendia,sofá,1
Carlos,bater,1
bater,coração,1
Carlos,percebeu,1
percebeu,docteur,1
Carlos,tomou,4
tomou,mãozinha,1
Carlos,tranquilizou,1
tranquilizou,Miss,1
sorrindo,daquele,1
Carlos,notou,1
notou,mesa,1
Carlos,conservar,1
conservar,criança,1
abrindo,porta,1
fez,sinal,1
Carlos,conter,1
conter,gesto,1
Carlos,olhou,8
olhou,desejo,1
Carlos,vestia,1
vestia,baile,1
Carlos,acabasse,1
acabasse,chávena,1
saiu,antecâmara,1
Carlos,dizer,2
dizer,«,2
Carlos,arremessou,1
arremessou,gabinete,1
dizia,pé,1
olhando,relógio,1
Carlos,chamar,1
chamar,Baptista,1
Carlos,lembrou,2
lembrou,casa,2
Carlos,meteu,2
meteu,boné,1
Carlos,mandara,1
mandara,desaparelhar,1
Carlos,partiu,1
partiu,tipóia,1
voltou,Olivais,1
disse,ar,1
Carlos,esperava,6
esperava,porta,1
Carlos,empurrou,1
empurrou,amigos,1
olhou,Craft,1
esperava,tipóia,1
Carlos,contemplando,2
contemplando,gravuras,1
sorrindo,fidalga,1
Carlos,perturbou,1
perturbou,ilusão,1
Carlos,emprestou,1
emprestou,contos,1
pensava,nestas,1
Carlos,despertar,1
despertar,lâmpadas,1
Carlos,decidiu,1
decidiu,findar,1
ofereceu,lho,1
Carlos,pôr,1
pôr,chapéu,1
Carlos,hesitou,1
hesitou,instante,1
Carlos,ia,2
ia,dog,1
dando,ardente,1
Carlos,ficara,7
ficara,cor,1
ficou,senhora,1
Carlos,perguntou,3
perguntou,Charlie,1
conhecia,melodia,1
Carlos,seguiu,2
seguiu,cauda,1
sentia,aroma,1
Carlos,achou,4
achou,lábios,1
bebeu,gin,1
Carlos,correndo,1
correndo,janela,1
olhou,casualmente,1
Carlos,tirou,3
tirou,chapéu,1
Carlos,discutia,1
discutia,complicadamente,1
achou,palavra,1
Carlos,desapareceu,1
desapareceu,reposteiro,1
Carlos,travando,1
travando,alegremente,1
Carlos,desculpou,1
desculpou,voz,1
Carlos,raspando,1
raspando,chicote,1
reconheceu,servente,1
Carlos,cumprimentou,1
cumprimentou,irmãs,1
Carlos,procuravam,1
procuravam,inquietamente,1
Carlos,falar,3
falar,amiga,1
Carlos,sentou,2
sentou,pé,1
estava,Celorico,1
tinha,convidado,1
saindo,pressa,1
avistar,montão,1
achou,pé,1
demorou,momento,1
quero,coisa,1
Carlos,lamentou,1
lamentou,fortuna,1
Carlos,tomava,1
tomava,comboio,1
Carlos,abria,1
abria,olhos,1
Carlos,fomentar,1
fomentar,divertimentos,1
Carlos,tocava,1
tocava,braço,1
tinham,campo,1
foi,desconsolação,1
Carlos,abalou,1
abalou,recinto,1
Carlos,procurar,1
procurar,Craft,1
tomou,rédeas,1
Carlos,abriu,4
abriu,linha,1
Carlos,saber,1
saber,banhado,1
Carlos,puxou,3
puxou,cordão,1
ficou,atarantado,1
reconheceu,suíças,1
Carlos,ouvia,1
ouvia,nome,1
foi,biombo,1
Carlos,pousou,3
pousou,embaraçadamente,1
Carlos,percebia,2
percebia,agradecia,1
Carlos,levantar,1
levantar,voz,1
achava,nome,1
vira,Hotel,1
sorrindo,encanto,1
sentia,alegria,1
sentou,rosetas,1
Carlos,terminou,1
terminou,afagar,1
Carlos,parou,4
parou,olhos,1
Carlos,adiantou,1
adiantou,mão,1
passar,arzinho,1
ria,daquelas,1
conhecia,dr,1
é,pessoa,1
ergueu,findando,1
vendo,vagão,1
correu,vagões,1
Carlos,saltou,3
saltou,vagão,1
deu,salto,1
Carlos,acompanhou,1
acompanhou,«,1
Carlos,perguntava,2
perguntava,demora,1
teve,doçura,1
Carlos,cumpria,1
cumpria,encargos,1
Carlos,levava,4
levava,cóleras,1
Carlos,ficava,2
ficava,pensar,1
fez,escarlate,1
Carlos,sentiu,3
sentiu,Dâmaso,1
falou,avô,1
Carlos,explicasse,1
explicasse,ideia,1
Carlos,ficavam,1
ficavam,palpitando,1
tinham,afeições,1
ia,casa,1
perguntava,condessa,1
Carlos,conversava,1
conversava,Maria,1
Carlos,continuava,2
continuava,sossegadamente,1
Carlos,continuou,1
continuou,espreitar,1
é,delicia,1
Carlos,estendeu,1
estendeu,dedos,1
desceu,escadas,2
Carlos,recolhendo,1
recolhendo,Ramalhete,1
Carlos,fornecer,1
fornecer,requintes,1
olhou,severidade,1
tinha,novidade,1
Carlos,apoiava,1
apoiava,Ega,1
Carlos,ir,1
ir,Espanhol,1
vira,vez,1
Carlos,falando,1
falando,dever,1
ficou,instante,1
Carlos,atravessar,1
atravessar,salão,1
ficou,direita,1
Carlos,comendo,1
comendo,silêncio,1
pousou,copo,1
perguntou,repreensão,1
Carlos,exprimir,1
exprimir,prazer,1
sorrindo,carvão,1
dando,passo,1
Carlos,entrar,1
entrar,procurara,1
seguiu,silêncio,1
Carlos,tocou,2
tocou,pulso,1
Carlos,galgou,1
galgou,escadas,1
Carlos,beijou,4
beijou,mãozinhas,1
Carlos,advertiu,1
advertiu,menina,1
Carlos,acrescentou,1
acrescentou,ar,1
olhou,relógio,1
Carlos,tremer,1
tremer,pálida,1
estava,pés,1
continuava,mãos,1
falar,rumor,1
Carlos,sentar,1
sentar,sofá,1
esperava,sofá,1
tomou,mãos,1
fazendo,gesto,1
tinha,Ramalhete,1
contou,ida,1
Carlos,procurou,1
procurou,olhar,1
Carlos,havia,1
havia,semanas,1
Carlos,fizera,1
fizera,confidência,1
tinha,aventura,1
falava,daquele,1
Carlos,calou,1
calou,Ega,1
Carlos,aceitariam,1
aceitariam,dessas,1
sentia,desassossegado,1
Carlos,subir,1
subir,Ega,1
Carlos,faltara,1
faltara,rendez,1
Carlos,respirar,1
respirar,perfume,1
Carlos,começando,1
começando,calçar,1
parou,braços,1
falar,Cohens,1
Carlos,lembrei,1
lembrei,Sintra,1
olhou,!?,1
Carlos,saltava,2
saltava,coupé,1
contemplando,enlevado,1
sorrindo,suplicante,1
Carlos,beijando,1
beijando,olhos,1
teve,suspiro,2
Carlos,está,1
está,coisas,1
dizia,Craft,1
Carlos,acendeu,1
acendeu,cigarette,1
Carlos,rindo,1
rindo,fogo,1
vendo,vez,1
abriu,janela,1
passar,desprendeu,1
Carlos,arrancou,1
arrancou,leito,1
sorria,silêncio,1
saltou,furioso,1
sentiu,respiração,1
percebia,olhos,1
achava,palavra,2
teve,tentação,1
sentia,fadiga,1
bateu,raivosamente,1
Carlos,voltando,3
voltando,Santa,1
recolheu,Ramalhete,1
Carlos,percorreu,1
percorreu,«,1
compreendeu,fuga,1
Carlos,pensando,1
pensando,pai,1
pensava,avô,1
Carlos,voltava,1
voltava,Ramalhete,1
sentia,«,1
Carlos,ajoelhava,1
ajoelhava,almofada,1
tinha,chave,1
sentia,nesta,1
reparou,casita,1
deixava,Toca,1
beijou,olhos,1
Carlos,chegando,2
chegando,peitoril,1
falou,calor,1
acendendo,cigarette,1
Carlos,torcendo,1
torcendo,bigode,1
Carlos,soube,1
soube,carta,1
voltando,Eusebiozinho,1
disse,coisas,1
esperava,momentos,1
veio,Ramalhete,1
tirou,fotografia,1
levava,leito,1
Carlos,pusera,2
pusera,retrato,1
Carlos,riu,1
riu,parecença,1
achara,olhos,1
Carlos,implorando,1
implorando,aprovação,1
correu,janela,1
Carlos,tens,1
tens,amigo,1
Carlos,desses,1
desses,penhascos,1
Carlos,chegara,1
chegara,madrugada,1
Carlos,parecia,1
parecia,partida,1
Carlos,reunia,1
reunia,existência,1
Carlos,contava,2
contava,benevolência,1
olhou,bilhete,1
tinha,almoçado,1
Carlos,olharam,1
olharam,instante,1
Carlos,indicou,1
indicou,sofá,1
Carlos,defronte,1
defronte,cadeira,1
ergueu,lívido,1
ficara,cadeira,1
fez,explosão,1
tivera,amante,1
olhou,Achas,1
procurando,atarantadamente,1
saltou,precipitadamente,1
Carlos,gritou,2
gritou,cocheiro,2
caminhando,muro,1
ficara,imóvel,1
puxou,cadeira,1
sentiu,porta,1
Carlos,apertando,1
apertando,mãos,1
tinha,braços,1
ficara,noite,1
buscar,malas,1
parou,olhar,2
meteu,libra,1
beijou,silêncio,1
falava,Maria,1
tinha,ideia,1
levava,avô,1
Carlos,torcia,1
torcia,bigode,1
conhecia,vida,1
Carlos,quis,1
quis,admirasse,1
Carlos,instalava,1
instalava,felicidade,1
ria,travessa,1
Carlos,necessitava,1
necessitava,musa,1
ficara,jantar,1
Carlos,mostrar,1
mostrar,quinta,1
Carlos,tentou,1
tentou,envolvê,1
achou,«,1
Carlos,apresentou,1
apresentou,marquês,1
Carlos,convidou,1
convidou,marquês,1
Carlos,acumulou,1
acumulou,vezes,1
dava,lições,1
ficara,tarde,1
abriu,carta,1
