Source,Target,Weight
Ramalhete,possuía,1
possuía,fundo,1
Ramalhete,continuou,1
continuou,desabitado,1
Ramalhete,restava,1
restava,fachada,1
Ramalhete,abriam,1
abriam,galeria,1
Ramalhete,tinha,1
tinha,bairro,1
Ramalhete,eram,1
eram,longos,1
Ramalhete,faziam,1
faziam,conciliábulos,1
Ramalhete,fazia,2
fazia,momento,1
Ramalhete,deixar,1
deixar,bilhetes,1
Ramalhete,dizendo,1
dizendo,ouvido,1
Ramalhete,ouviram,1
ouviram,rumores,1
Ramalhete,mostrar,1
mostrar,Rubens,1
Ramalhete,estavam,1
estavam,tapeçarias,1
Ramalhete,parou,1
parou,Largo,1
Ramalhete,acabar,1
acabar,tarde,1
Ramalhete,esconder,1
esconder,melancolia,1
Ramalhete,estava,1
estava,Castro,1
Ramalhete,era,2
era,ideia,1
era,inútil,1
Ramalhete,aparecer,1
aparecer,!...,1
Ramalhete,passeava,1
passeava,quinta,1
fazia,empalidecer,1
Ramalhete,volta,1
volta,Afonso,1
Ramalhete,deixou,1
deixou,marquês,1
Ramalhete,almoçou,1
almoçou,batera,1
Ramalhete,escrever,1
escrever,carta,1
Ramalhete,visitar,1
visitar,casarão,1
Ramalhete,dar,1
dar,volta,1
Ramalhete,tinham,1
tinham,confusão,1
